budget,runtime,vote_average,vote_count,popularity,genre_count,release_year,budget_category,main_genre,is_english,is_hit
2352000,132,6.321,14,2.9375,2,2025.0,Low,Thriller,0,0
0,60,6.3,26,2.2679,3,1969.0,Ultra_Low,Animation,0,0
0,71,6.3,3,2.3964,2,2019.0,Ultra_Low,Drama,0,0
130000000,130,6.481,2391,3.3495,3,2000.0,Medium,Drama,1,0
8000000,93,6.2,108,3.267,1,2014.0,Low,Comedy,1,0
20000000,100,5.979,1618,18.9213,4,2018.0,Low,Science Fiction,1,0
0,88,6.706,708,3.873,1,2018.0,Ultra_Low,Horror,0,0
0,123,0.0,0,2.4876,2,2025.0,Ultra_Low,Drama,1,0
0,19,6.092,238,2.9239,1,2011.0,Ultra_Low,Horror,1,0
180000000,127,7.401,1141,85.2164,3,2025.0,High,Action,1,0
0,0,7.2,6,1.1502,2,2018.0,Ultra_Low,Comedy,0,0
100000000,120,6.73,1394,7.2359,2,2024.0,Medium,Science Fiction,1,0
0,70,0.0,0,2.1213,2,2021.0,Ultra_Low,Drama,0,0
145000000,102,7.675,9875,73.0311,6,2014.0,Medium,Fantasy,1,1
50000000,101,5.867,1494,4.0126,4,1996.0,Low,Action,1,0
0,95,6.1,14,4.0678,1,2015.0,Ultra_Low,Romance,0,0
8200000,174,7.73,3387,7.0991,4,1965.0,Low,Drama,1,1
50000000,120,5.576,3514,5.3311,4,2019.0,Low,Fantasy,1,0
3500000,111,6.1,175,4.1076,4,2024.0,Low,Thriller,0,0
3000000,103,7.386,1719,3.6218,2,1992.0,Low,Horror,1,0
21000000,102,6.307,2029,3.6833,1,2018.0,Low,Comedy,1,1
0,94,6.515,33,2.5186,2,1988.0,Ultra_Low,Horror,0,0
0,96,5.8,14,4.2308,3,2025.0,Ultra_Low,Drama,1,0
0,48,6.25,4,2.5147,1,2024.0,Ultra_Low,Drama,0,0
60000000,103,6.556,3391,5.6303,3,2020.0,Medium,Action,1,0
0,86,6.2,235,3.0541,1,2001.0,Ultra_Low,Drama,0,1
15000000,114,6.818,992,5.6874,3,2021.0,Low,Drama,1,0
2200000,91,6.124,1394,4.7981,2,1984.0,Low,Horror,1,1
0,81,2.333,3,7.2092,1,1976.0,Ultra_Low,Comedy,1,0
0,139,6.65,1106,3.3836,1,2021.0,Ultra_Low,Western,1,0
0,90,6.9,268,2.7634,4,2023.0,Ultra_Low,Animation,1,0
80000000,144,8.042,179,37.6656,3,2025.0,Medium,Animation,0,1
1000000,103,6.349,1109,8.3296,2,2024.0,Ultra_Low,Horror,1,1
0,91,6.635,731,3.4756,4,2007.0,Ultra_Low,Thriller,1,0
0,130,6.1,170,5.4214,3,2024.0,Ultra_Low,Fantasy,0,1
0,80,0.0,0,1.1034,3,2019.0,Ultra_Low,Comedy,1,0
0,78,3.5,2,0.9865,0,2017.0,Ultra_Low,Unknown,1,0
6042800,110,7.615,349,4.7381,4,2022.0,Low,Science Fiction,0,0
0,115,6.946,129,4.6247,1,2024.0,Ultra_Low,Drama,1,0
95000000,162,7.428,13941,11.5234,3,2019.0,Medium,Comedy,1,1
0,101,6.4,160,3.6036,2,2024.0,Ultra_Low,Romance,1,0
10000000,99,6.633,2178,5.3933,2,2022.0,Low,Horror,1,0
0,106,5.9,120,4.5226,1,2022.0,Ultra_Low,Drama,0,0
38504400,118,5.9,135,2.5417,3,2021.0,Low,Action,0,0
0,118,6.743,140,8.2934,2,2024.0,Ultra_Low,Drama,0,0
0,78,0.0,0,1.0513,1,2015.0,Ultra_Low,Drama,1,0
300,67,10.0,1,1.285,1,2016.0,Ultra_Low,Documentary,0,0
0,6,6.823,99,5.7631,4,2011.0,Ultra_Low,Animation,1,0
0,93,5.427,41,2.6164,1,2001.0,Ultra_Low,Drama,1,0
0,103,4.25,8,9.8324,3,2024.0,Ultra_Low,Horror,1,0
0,75,5.9,44,2.9149,1,2023.0,Ultra_Low,Western,1,0
50000000,100,5.803,2333,4.2642,5,2005.0,Low,Comedy,1,0
3000000,106,6.283,254,2.1595,1,2017.0,Low,Drama,0,0
380000,155,7.7,42,4.1146,2,2024.0,Ultra_Low,Romance,0,1
30000000,107,6.188,2618,4.8772,4,2018.0,Low,Action,1,0
0,92,6.7,37,4.2735,1,1982.0,Ultra_Low,Comedy,0,0
0,92,7.48,245,2.6546,1,2024.0,Ultra_Low,Drama,0,1
0,69,0.0,0,0.8712,1,2024.0,Ultra_Low,Drama,1,0
0,91,0.0,0,1.1494,0,2016.0,Ultra_Low,Unknown,1,0
0,111,6.617,359,2.5695,3,2021.0,Ultra_Low,Horror,1,1
0,98,5.0,840,2.5438,5,2018.0,Ultra_Low,Family,1,1
2800000,131,8.06,4075,9.6754,3,2003.0,Low,Crime,0,1
0,98,6.259,29,4.8646,2,2005.0,Ultra_Low,Romance,0,0
10000000,95,6.314,2121,3.9151,2,1999.0,Low,Comedy,1,1
50000000,119,7.074,2972,3.4797,3,2004.0,Low,Adventure,1,0
0,90,7.8,2275,2.7854,5,2016.0,Ultra_Low,Crime,1,0
0,91,5.2,4,0.9345,2,2024.0,Ultra_Low,Drama,1,0
0,98,5.5,167,2.3201,4,1975.0,Ultra_Low,Drama,0,0
0,61,5.3,11,9.6946,2,2024.0,Ultra_Low,Drama,0,0
3000000,116,8.218,1496,3.5994,3,1957.0,Low,Drama,1,0
35000000,127,6.539,723,3.8847,3,1982.0,Low,Comedy,1,0
0,90,6.113,97,2.3917,3,1998.0,Ultra_Low,Action,0,1
0,94,6.14,873,2.472,3,2019.0,Ultra_Low,Drama,1,0
2479000,128,8.161,5943,6.7011,3,1958.0,Low,Mystery,1,0
0,112,7.995,2421,6.4136,4,2019.0,Ultra_Low,Animation,0,1
16000000,100,7.041,1034,2.6528,3,1989.0,Low,Romance,1,0
0,91,0.0,0,1.1595,1,1958.0,Ultra_Low,Drama,0,0
14000000,90,6.628,3363,5.6809,3,2020.0,Low,Action,1,0
0,22,6.0,1,2.3726,1,2024.0,Ultra_Low,Documentary,1,0
7000000,120,7.385,1550,2.708,2,1993.0,Low,Drama,1,1
11500000,102,6.627,2236,5.0801,4,1989.0,Low,Horror,1,1
69000000,116,6.093,8211,9.2235,3,2017.0,Medium,Comedy,1,0
10000000,112,6.1,603,3.1055,2,2017.0,Low,Romance,1,0
23000000,105,6.681,3589,3.8297,3,2007.0,Low,Horror,1,0
14000000,134,7.203,644,2.2512,4,1998.0,Low,Crime,1,0
25000000,119,7.552,2664,10.6234,1,2018.0,Low,Drama,1,0
109000000,100,7.539,3812,6.0161,3,2020.0,Medium,Adventure,1,0
90000000,93,7.0,1740,4.725,4,2020.0,Medium,Animation,1,0
0,126,7.7,320,3.5402,3,2017.0,Ultra_Low,Action,0,0
43000000,104,6.156,1167,4.2713,3,2022.0,Low,Action,1,0
0,88,6.448,376,2.3745,1,1972.0,Ultra_Low,Western,1,1
0,223,6.882,68,2.3057,2,1941.0,Ultra_Low,Drama,0,0
0,93,5.393,239,4.1531,1,2003.0,Ultra_Low,Drama,1,1
0,0,6.0,3,2.9574,2,2025.0,Ultra_Low,Comedy,0,0
0,120,7.115,908,4.6395,4,1998.0,Ultra_Low,Adventure,0,0
20000000,115,6.6,228,3.7703,2,2010.0,Low,Action,0,0
0,104,7.0,223,2.884,2,2024.0,Ultra_Low,Drama,1,0
120000000,142,6.58,13627,8.7766,3,2002.0,Medium,Adventure,1,1
0,15,4.6,4,2.7797,2,2021.0,Ultra_Low,Animation,0,0
0,98,6.119,775,3.6515,3,2015.0,Ultra_Low,Horror,0,1
200000000,135,7.373,22616,15.9011,3,2018.0,High,Action,1,1
0,100,7.1,49,3.0619,2,1997.0,Ultra_Low,Animation,0,1
35000000,105,6.001,929,2.4587,2,2005.0,Low,Comedy,1,0
48000000,104,4.464,1353,3.8884,4,1993.0,Low,Adventure,1,0
0,90,5.374,325,39.6717,2,2025.0,Ultra_Low,Horror,1,0
30000000,98,6.415,3307,3.1133,3,2007.0,Low,Thriller,1,0
0,94,7.3,10,6.0423,2,2023.0,Ultra_Low,Drama,0,0
18000000,127,7.489,2382,2.4834,3,1994.0,Low,Comedy,1,0
0,84,5.0,1,32.9694,1,2024.0,Ultra_Low,Drama,0,0
0,68,8.0,206,2.2816,3,2016.0,Ultra_Low,Animation,0,1
0,93,5.258,122,2.5437,2,2007.0,Ultra_Low,Romance,0,0
150000000,100,7.075,2485,91.1579,4,2024.0,Medium,Animation,1,1
0,84,6.1,275,3.3156,3,2017.0,Ultra_Low,Animation,1,0
0,21,5.0,1,1.0493,2,2016.0,Ultra_Low,Comedy,0,0
0,96,0.0,0,0.8281,2,2024.0,Ultra_Low,Horror,1,0
30000000,136,7.875,14283,9.1787,3,2004.0,Low,Action,1,1
84000000,105,7.877,9647,8.8246,1,2017.0,Medium,Drama,1,1
0,60,10.0,1,1.3542,1,2015.0,Ultra_Low,Documentary,1,0
0,86,0.0,0,1.3954,0,2004.0,Ultra_Low,Unknown,0,0
0,136,6.7,1049,2.7847,4,2023.0,Ultra_Low,Crime,1,0
0,140,8.7,13,3.6753,1,2017.0,Ultra_Low,Documentary,1,0
3750,83,4.0,2,1.014,2,2018.0,Ultra_Low,Crime,1,0
0,113,7.0,142,3.0899,4,2008.0,Ultra_Low,Action,0,1
0,77,3.4,7,1.2993,1,2022.0,Ultra_Low,Thriller,1,0
20000000,121,7.896,183,5.0155,1,2023.0,Low,Drama,1,0
0,93,7.0,6,101.6234,3,2025.0,Ultra_Low,Animation,1,0
12500000,140,7.9,1868,3.2226,2,2000.0,Low,Drama,1,0
50000000,104,5.567,1211,4.2766,3,2005.0,Low,Comedy,1,0
0,95,8.3,25,95.2883,5,2025.0,Ultra_Low,Animation,1,0
49000000,121,6.116,500,4.1405,4,2019.0,Low,Action,0,0
3500000,116,7.211,1187,3.1241,2,1978.0,Low,Science Fiction,1,1
15000000,128,7.211,4285,12.4534,3,1998.0,Low,Comedy,1,1
0,142,8.232,1612,6.2465,2,1985.0,Ultra_Low,Drama,0,1
0,70,7.333,6,32.2775,1,2025.0,Ultra_Low,Drama,0,0
0,95,6.7,108,2.8262,2,2004.0,Ultra_Low,Drama,0,0
0,157,7.1,28,2.1062,3,1967.0,Ultra_Low,Drama,0,0
6000000,103,7.2,310,2.7065,4,1984.0,Low,Science Fiction,0,0
4500000,105,7.204,986,5.7915,3,1996.0,Low,Drama,1,0
2200000,115,7.8,5,8.3105,8,2025.0,Low,Animation,0,0
0,99,7.489,176,2.3097,2,2013.0,Ultra_Low,Animation,0,0
0,96,5.4,11,2.539,1,1999.0,Ultra_Low,Drama,0,0
45000000,131,7.425,2578,2.6753,1,2019.0,Low,Drama,1,0
95000000,105,6.826,7172,15.9908,4,2015.0,Medium,Romance,1,1
55000000,105,6.694,8138,19.7886,2,2018.0,Medium,Drama,1,1
50100000,105,6.874,7976,5.1009,3,2015.0,Medium,Romance,1,0
9000000,86,5.779,769,2.8879,5,2006.0,Low,Horror,1,0
400000,95,6.779,1961,4.0019,1,2004.0,Ultra_Low,Comedy,1,1
1800000,96,4.556,27,1.6107,1,1992.0,Low,Horror,1,0
0,100,6.2,53,2.4504,5,1985.0,Ultra_Low,Animation,0,0
0,78,6.8,5,4.468,1,1998.0,Ultra_Low,Comedy,1,0
22000000,94,6.323,996,3.2288,2,2012.0,Low,Comedy,1,1
0,131,7.9,17,3.1429,2,2024.0,Ultra_Low,Drama,0,1
0,89,6.25,20,1.58,2,1973.0,Ultra_Low,Horror,1,0
3200000,97,6.647,945,3.8425,3,2022.0,Low,Horror,0,0
150000000,101,8.108,10808,11.3557,4,2020.0,Medium,Animation,1,0
500000,94,6.221,1636,3.0252,3,2010.0,Ultra_Low,Drama,1,1
0,0,0.0,0,4.5016,2,2027.0,Ultra_Low,Comedy,1,0
14750000,96,7.001,344,10.3926,5,2024.0,Low,Thriller,0,0
62000000,113,6.534,738,2.5388,3,1995.0,Medium,Comedy,1,0
10000000,107,6.217,3039,5.3556,3,1985.0,Low,Action,1,1
15000000,101,6.785,1922,4.3597,3,1996.0,Low,Horror,1,0
0,99,7.489,3010,5.0542,1,1977.0,Ultra_Low,Horror,0,1
0,60,2.0,1,3.6853,0,1997.0,Ultra_Low,Unknown,0,0
0,151,6.667,3,3.1547,2,2025.0,Ultra_Low,Comedy,0,0
80000000,126,6.937,6707,8.5081,2,1992.0,Medium,Action,1,1
102000000,172,6.886,7205,5.4874,2,2012.0,Medium,Drama,1,0
36000000,98,7.167,4547,10.2905,3,1996.0,Low,Comedy,1,0
0,91,6.251,487,4.3992,3,2022.0,Ultra_Low,Horror,1,0
0,129,7.0,96,1.609,4,1939.0,Ultra_Low,Adventure,1,0
0,106,7.3,131,2.6856,1,1994.0,Ultra_Low,Comedy,0,0
0,84,6.045,22,18.131,1,2024.0,Ultra_Low,Horror,0,0
29000000,105,6.827,1983,4.4803,2,1991.0,Low,Action,1,0
8500000,89,4.8,353,2.3601,3,2022.0,Low,Horror,1,0
22000000,195,8.564,16485,14.575,3,1993.0,Low,Drama,1,1
0,111,7.2,65,2.2518,3,1974.0,Ultra_Low,Romance,0,0
105000000,98,7.218,5797,13.6414,4,2009.0,Medium,Animation,1,0
30000000,138,7.481,1722,2.7652,2,1993.0,Low,Drama,1,1
0,85,8.396,24,15.9708,1,2025.0,Ultra_Low,Documentary,1,0
0,98,7.783,2085,4.9724,4,2006.0,Ultra_Low,Fantasy,0,1
0,111,6.9,235,3.1859,2,2002.0,Ultra_Low,Action,0,1
18000000,100,4.516,771,2.7151,2,2005.0,Low,Horror,1,0
1020000,88,7.63,833,2.5053,2,1944.0,Low,Drama,1,0
1200000,85,7.1,733,3.1286,2,2000.0,Low,Comedy,1,0
0,61,10.0,1,2.5219,1,2020.0,Ultra_Low,Drama,0,0
0,93,5.5,6,2.0421,1,1969.0,Ultra_Low,Comedy,1,0
25000000,90,6.89,1288,2.9327,5,2011.0,Low,Adventure,0,0
0,96,6.167,159,3.578,3,2022.0,Ultra_Low,Action,1,0
45000000,93,6.077,4918,5.5942,5,2008.0,Low,Action,1,0
7520000,76,6.442,207,2.4372,3,1986.0,Low,Adventure,0,0
0,116,0.0,0,1.2327,2,2019.0,Ultra_Low,Drama,1,0
0,118,7.4,745,2.7639,2,2006.0,Ultra_Low,Drama,1,1
0,134,7.8,105,8.3792,4,2024.0,Ultra_Low,Action,0,1
10000000,81,6.372,691,2.5136,2,2002.0,Low,Comedy,1,0
65000000,93,6.476,1895,5.298,3,2023.0,Medium,Comedy,1,0
8500000,120,7.3,139,2.3617,4,2008.0,Low,Action,0,0
0,80,5.869,80,2.6428,3,2024.0,Ultra_Low,Horror,1,0
0,16,8.0,7,4.2367,3,2018.0,Ultra_Low,Horror,1,0
0,104,6.2,285,3.1467,1,2013.0,Ultra_Low,Action,0,1
0,129,8.385,4143,9.5056,3,2016.0,Ultra_Low,Animation,0,1
250000000,152,5.981,18321,15.7389,3,2016.0,High,Action,1,1
6500000,96,5.667,447,2.6199,4,1992.0,Low,Family,1,1
9000000,117,7.457,1732,2.969,3,1991.0,Low,Comedy,1,0
16000000,92,7.157,3681,4.0505,3,2007.0,Low,Adventure,1,0
3000,53,3.0,5,0.896,1,2025.0,Ultra_Low,Horror,1,0
140000000,124,7.003,21906,8.7547,3,2011.0,Medium,Action,1,0
0,91,4.78,1348,5.1538,3,2011.0,Ultra_Low,Drama,1,1
0,17,6.871,476,2.5197,2,2023.0,Ultra_Low,Comedy,1,0
0,99,6.1,127,2.4248,2,2023.0,Ultra_Low,Romance,1,0
6000000,99,6.565,1352,2.3954,4,1998.0,Low,Comedy,1,1
13000000,90,5.879,1644,4.691,2,1991.0,Low,Horror,1,0
0,88,0.0,0,40.4889,1,1985.0,Ultra_Low,Drama,1,0
0,50,6.233,30,2.4342,2,1992.0,Ultra_Low,Action,0,0
50000000,80,5.725,4087,8.3615,2,2004.0,Low,Comedy,1,1
100000000,128,6.217,4828,7.3127,2,2018.0,Medium,Adventure,1,0
8000000,134,7.3,125,2.5065,2,1993.0,Low,Drama,0,0
0,41,6.812,571,4.5728,3,1989.0,Ultra_Low,Animation,0,1
40000000,100,6.0,2761,6.2311,1,2015.0,Low,Comedy,1,0
0,96,4.9,88,3.1293,3,1975.0,Ultra_Low,Drama,0,0
0,96,6.4,357,2.3087,1,2020.0,Ultra_Low,Horror,0,1
0,84,8.333,3,37.8045,3,2024.0,Ultra_Low,Drama,0,0
23000000,110,6.637,608,2.6089,4,2007.0,Low,Drama,1,0
0,84,0.0,0,1.1908,0,2017.0,Ultra_Low,Unknown,1,0
0,94,7.727,666,3.7657,4,1993.0,Ultra_Low,Fantasy,0,0
0,99,7.183,104,2.3318,3,1993.0,Ultra_Low,Action,0,0
40000000,91,6.095,441,3.7305,4,2017.0,Low,Animation,1,0
0,78,5.3,6,1.0157,1,2017.0,Ultra_Low,Drama,1,0
4000000,113,7.668,1428,4.1787,3,1963.0,Low,Comedy,1,1
0,94,6.1,73,4.0405,1,2024.0,Ultra_Low,Drama,1,1
0,90,4.417,6,3.0978,1,2025.0,Ultra_Low,Horror,1,0
0,60,6.762,107,2.0627,5,2007.0,Ultra_Low,Animation,0,0
0,108,7.119,892,2.5532,3,2016.0,Ultra_Low,War,1,0
0,156,7.426,237,4.979,4,2018.0,Ultra_Low,Action,0,0
0,89,5.303,76,8.7333,2,2024.0,Ultra_Low,Horror,1,0
0,106,5.8,180,2.7329,3,2023.0,Ultra_Low,Romance,1,0
22000000,125,5.955,101,2.5867,2,2010.0,Low,Drama,0,0
0,105,6.983,151,2.3673,3,1987.0,Ultra_Low,Action,0,0
0,91,7.0,428,4.9532,3,2023.0,Ultra_Low,Romance,1,1
200000000,115,6.065,6642,7.1976,3,2009.0,High,Action,1,0
30000000,92,5.794,600,3.8427,1,2012.0,Low,Comedy,1,0
0,95,5.3,33,2.2483,2,1975.0,Ultra_Low,Fantasy,0,0
0,79,0.0,0,1.2161,1,2015.0,Ultra_Low,Horror,1,0
130000,80,0.0,0,1.138,3,2020.0,Ultra_Low,Comedy,1,0
4000000,98,6.922,573,10.5364,3,2024.0,Low,Crime,1,0
0,123,7.604,359,3.2036,3,1994.0,Ultra_Low,Comedy,0,1
11000000,102,6.6,569,2.4695,3,1980.0,Low,Crime,1,0
30000000,82,6.488,2186,7.0305,2,1994.0,Low,Comedy,1,1
15000000,103,6.723,1407,3.0584,3,2006.0,Low,Fantasy,1,0
11900000,143,6.3,22,3.0432,3,2024.0,Low,Action,0,0
3400000,90,6.613,1534,3.9357,2,2009.0,Low,Horror,1,1
200000000,128,7.593,7378,44.6445,3,2024.0,High,Action,1,1
0,0,6.0,2,0.9038,1,1984.0,Ultra_Low,Drama,0,0
0,64,7.7,284,2.6707,5,2016.0,Ultra_Low,Animation,0,1
0,102,6.3,14,2.2448,2,1992.0,Ultra_Low,Action,0,0
30000000,107,7.228,423,2.9035,2,2023.0,Low,Comedy,1,0
0,103,6.419,455,4.1338,1,2023.0,Ultra_Low,Comedy,1,0
0,123,5.0,142,6.0546,2,2024.0,Ultra_Low,Drama,1,0
0,88,6.083,463,5.0771,2,2014.0,Ultra_Low,Thriller,1,1
0,95,4.3,56,2.4736,2,1987.0,Ultra_Low,Horror,1,0
6244087,145,7.6,1243,3.0842,1,1969.0,Low,Western,1,0
5700000,116,6.815,1055,2.4174,3,2017.0,Low,Drama,0,0
13360000,125,6.898,2101,2.6881,3,2015.0,Low,Comedy,0,0
0,110,6.75,8,6.6398,2,2025.0,Ultra_Low,Romance,1,0
5000000,121,7.5,871,2.1694,1,2007.0,Low,Drama,1,0
12000000,157,7.4,164,1.9555,3,2022.0,Low,Crime,0,0
0,97,5.4,32,1.977,1,2024.0,Ultra_Low,Comedy,1,1
0,133,8.083,12,3.129,3,2024.0,Ultra_Low,Animation,0,0
35000000,126,7.234,8087,7.9257,3,1989.0,Low,Fantasy,1,1
0,82,5.0,1,1.21,1,2013.0,Ultra_Low,Documentary,1,0
0,90,7.594,203,2.6389,3,2016.0,Ultra_Low,Fantasy,0,1
3500000,94,7.203,3028,7.8392,3,2002.0,Low,Drama,0,0
0,88,6.429,98,2.739,3,1966.0,Ultra_Low,Action,0,0
5500000,112,7.4,206,5.0577,2,2022.0,Low,Action,0,1
0,111,6.588,182,32.9579,4,2025.0,Ultra_Low,Action,0,0
2500000,96,5.576,295,2.3733,2,1999.0,Low,Fantasy,1,0
0,95,6.2,364,2.2372,3,1992.0,Ultra_Low,Comedy,0,0
0,53,3.0,1,2.0281,4,1935.0,Ultra_Low,Western,1,0
130000000,117,7.07,20131,9.0188,3,2015.0,Medium,Science Fiction,1,1
500,92,5.6,22,1.5845,2,2010.0,Ultra_Low,Drama,1,0
3500000,75,6.7,660,2.4465,3,2007.0,Low,Action,1,0
0,25,7.0,3,0.8713,2,2017.0,Ultra_Low,Horror,1,0
0,99,0.0,0,0.9887,1,2013.0,Ultra_Low,Comedy,1,0
5000000,89,7.383,2881,3.4753,2,2010.0,Low,Comedy,1,0
70000000,242,8.117,10261,13.1431,3,2021.0,Medium,Action,1,0
0,61,7.874,143,2.6856,2,2013.0,Ultra_Low,Animation,1,0
0,126,7.4,65,3.1077,1,2022.0,Ultra_Low,Drama,0,0
47000000,96,5.995,2508,4.0019,3,1996.0,Low,Comedy,1,0
0,91,6.533,60,2.8846,2,1998.0,Ultra_Low,Animation,0,1
0,7,7.0,671,3.2158,3,2011.0,Ultra_Low,Animation,1,0
0,67,4.565,23,1.0917,1,2024.0,Ultra_Low,Comedy,1,0
3500000,76,7.734,1639,3.4547,4,2012.0,Low,Science Fiction,1,0
0,130,3.3,3,1.3897,2,2019.0,Ultra_Low,Horror,1,0
0,99,7.5,185,3.3544,4,2001.0,Ultra_Low,Action,0,1
38000000,94,5.16,1596,3.6888,3,2015.0,Low,Action,1,0
14390509,168,7.455,1482,3.1694,3,1988.0,Low,Romance,0,0
0,111,7.225,40,3.769,1,2025.0,Ultra_Low,Drama,1,1
35000000,94,5.992,256,2.5237,2,2001.0,Low,Western,1,0
25000000,85,6.957,1419,3.9182,4,2015.0,Low,Family,1,1
0,74,6.025,1193,3.91,4,2003.0,Ultra_Low,Family,1,0
22700000,115,7.891,1207,7.8396,3,2023.0,Low,Action,0,0
1752000,110,8.293,2695,3.7213,1,1950.0,Low,Drama,1,0
200000,99,7.832,4418,6.9586,1,1964.0,Ultra_Low,Western,0,1
31000000,156,7.789,3590,6.9207,1,1992.0,Low,Drama,1,1
40000000,0,0.0,0,2.7744,3,2025.0,Low,Horror,0,0
9000000,100,5.7,181,3.4258,2,1984.0,Low,Comedy,1,0
0,139,9.0,4,3.7735,2,2025.0,Ultra_Low,Action,0,0
0,140,3.6,24,1.9372,3,2011.0,Ultra_Low,Adventure,1,0
50000000,118,6.7,996,3.0535,1,2000.0,Low,Comedy,1,0
0,90,5.2,114,3.3984,3,2022.0,Ultra_Low,Thriller,1,0
0,106,6.8,99,2.2412,2,2007.0,Ultra_Low,Drama,0,0
0,104,7.32,25,3.219,3,2018.0,Ultra_Low,Animation,0,1
10000000,89,6.914,274,3.3371,3,2015.0,Low,Fantasy,0,1
0,97,7.029,296,2.4864,3,2022.0,Ultra_Low,Animation,1,0
15000000,107,7.105,1554,3.8912,2,1989.0,Low,Drama,1,1
0,112,6.969,97,6.3956,3,2024.0,Ultra_Low,Horror,0,1
30000000,98,5.824,2363,5.2486,2,2000.0,Low,Crime,1,1
0,97,5.367,252,2.3437,1,2015.0,Ultra_Low,Fantasy,1,0
0,92,0.0,0,1.3987,3,1994.0,Ultra_Low,TV Movie,1,0
0,92,6.8,135,3.6936,3,1994.0,Ultra_Low,Drama,0,0
0,84,4.0,1,1.171,2,2017.0,Ultra_Low,Thriller,1,0
0,117,6.318,340,4.4157,2,2022.0,Ultra_Low,Comedy,1,0
130000000,144,6.992,4516,15.5512,5,2005.0,Medium,Drama,1,0
13000000,113,7.579,7739,8.0471,2,2004.0,Low,Science Fiction,1,1
0,104,6.125,16,2.324,1,2017.0,Ultra_Low,Drama,1,0
0,0,4.0,1,3.0797,1,2020.0,Ultra_Low,Drama,0,0
0,90,6.151,1207,2.6475,2,2020.0,Ultra_Low,Comedy,1,0
125000000,102,6.318,5099,4.3312,3,2018.0,Medium,Action,1,0
0,97,5.0,1,2.7413,0,2023.0,Ultra_Low,Unknown,0,0
0,112,7.0,5,5.402,2,2025.0,Ultra_Low,Romance,0,0
16000000,96,7.404,4233,4.3108,3,1989.0,Low,Comedy,1,1
55000000,110,6.421,2597,3.6546,4,2000.0,Medium,Adventure,1,0
0,100,4.9,9,1.4744,2,2019.0,Ultra_Low,Horror,0,0
600,25,6.3,3,1.2154,2,2017.0,Ultra_Low,Horror,1,0
0,102,5.544,2263,4.0571,3,2019.0,Ultra_Low,Horror,1,0
0,121,6.1,12,2.7469,3,2017.0,Ultra_Low,Comedy,0,0
3000000,98,6.545,165,2.4213,2,2006.0,Low,Romance,1,0
0,85,3.913,63,3.7619,3,2018.0,Ultra_Low,Horror,1,0
0,108,5.1,579,3.2292,3,2021.0,Ultra_Low,Action,1,0
18000000,108,6.328,4616,6.17,3,2021.0,Low,Thriller,1,1
38000000,119,6.327,4187,5.049,3,2013.0,Low,Science Fiction,1,0
0,118,7.193,246,2.4856,2,1999.0,Ultra_Low,Fantasy,0,0
